epoch,train_loss,val_loss
1,0.02651755897974442,0.01868860287623883
2,0.01937730602248665,0.01774958855010997
3,0.017808446814482088,0.016320892103136923
4,0.016553791236767267,0.01561930891328461
5,0.0156313267490057,0.015037101060785686
6,0.015017420466823748,0.014849886475664093
7,0.01452890460388548,0.01428639527974935
8,0.014125613726618724,0.014335369732013766
9,0.013826304807847214,0.01352783010681804
10,0.013567096574458258,0.014832002078614754
11,0.013210838279174198,0.013433351772289675
12,0.012900979215675276,0.013213466348702595
13,0.012672571086991555,0.012900807118543448
14,0.012356411522312196,0.012589907670442654
15,0.012095157935880865,0.012562279911940538
16,0.01183638415252179,0.012567761776875337
17,0.01152770536787881,0.012186655337835152
18,0.011299742831922296,0.011815109411693045
19,0.011041621071954656,0.011768084885498435
20,0.01072826652706068,0.011466658056679447
21,0.010533791788265417,0.011644297499184336
22,0.010258454195583347,0.011567898534948372
23,0.010029938592844307,0.011251604188456447
24,0.009803090636143914,0.01133479900521866
25,0.009576257543713001,0.011292407382821747
26,0.009314919432333807,0.011235494288521514
27,0.009162779649060085,0.010925025716285864
28,0.00892018416088418,0.011014413441114283
29,0.008787767877504318,0.011012601353502119
30,0.008452955489263442,0.011056547811994933
